user_id,ad_version,clicked,device_type,region,gender,age_group,conversion,date
30,Mahira,0,Mobile,Islamabad,Male,25-34,0,9/24/2025
31,Mahira,0,Mobile,Lahore,Male,18-24,0,9/28/2025
32,Babar,0,Desktop,Lahore,Female,25-34,0,9/5/2025
33,Babar,0,Mobile,Karachi,Female,18-24,0,9/11/2025
34,Mahira,0,Desktop,Lahore,Female,35-44,0,9/13/2025
35,Mahira,0,Mobile,Islamabad,Female,18-24,0,9/25/2025
36,Mahira,0,Desktop,Karachi,Female,25-34,0,9/14/2025
37,Mahira,0,Desktop,Karachi,Male,35-44,0,9/23/2025
38,Babar,0,Desktop,Islamabad,Female,35-44,0,9/26/2025
39,Mahira,0,Tablet,Lahore,Male,18-24,0,9/25/2025
40,Mahira,0,Mobile,Islamabad,Male,35-44,0,9/29/2025
41,Babar,0,Desktop,Lahore,Male,25-34,0,9/11/2025
42,Babar,0,Tablet,Lahore,Female,35-44,0,9/29/2025
43,Mahira,0,Mobile,Islamabad,Female,35-44,0,9/14/2025
44,Babar,0,Tablet,Islamabad,Male,25-34,0,9/8/2025
45,Babar,0,Tablet,Islamabad,Female,18-24,0,9/26/2025
46,Babar,0,Tablet,Karachi,Male,35-44,0,9/24/2025
47,Babar,0,Tablet,Lahore,Female,18-24,0,9/20/2025
48,Mahira,0,Tablet,Lahore,Male,35-44,0,9/4/2025
49,Babar,0,Tablet,Lahore,Male,18-24,0,9/19/2025
50,Babar,0,Desktop,Islamabad,Male,25-34,0,9/17/2025
51,Mahira,0,Tablet,Karachi,Female,25-34,0,9/27/2025
52,Babar,0,Mobile,Karachi,Female,25-34,0,9/28/2025
53,Babar,0,Desktop,Karachi,Female,18-24,0,9/25/2025
54,Babar,0,Mobile,Islamabad,Female,18-24,0,9/18/2025
55,Mahira,1,Mobile,Islamabad,Male,35-44,0,9/28/2025
56,Mahira,0,Tablet,Lahore,Male,25-34,0,9/16/2025
57,Mahira,0,Mobile,Karachi,Female,18-24,0,9/2/2025
58,Mahira,0,Mobile,Islamabad,Male,25-34,0,9/1/2025
59,Babar,1,Mobile,Islamabad,Female,18-24,1,9/9/2025
60,Babar,0,Desktop,Lahore,Male,18-24,0,9/5/2025
61,Mahira,0,Mobile,Lahore,Female,25-34,0,9/16/2025
62,Mahira,0,Tablet,Lahore,Male,35-44,0,9/11/2025
63,Babar,0,Desktop,Karachi,Female,35-44,0,9/29/2025
64,Babar,0,Mobile,Karachi,Female,35-44,0,9/8/2025
65,Mahira,0,Mobile,Karachi,Female,18-24,0,9/22/2025
66,Mahira,0,Desktop,Karachi,Female,18-24,0,9/2/2025
67,Babar,0,Desktop,Lahore,Female,35-44,0,9/21/2025
68,Babar,0,Desktop,Lahore,Female,18-24,0,9/4/2025
69,Babar,0,Mobile,Karachi,Male,18-24,0,9/26/2025
70,Mahira,0,Mobile,Karachi,Female,18-24,0,9/4/2025
71,Mahira,0,Mobile,Karachi,Female,35-44,0,9/19/2025
72,Mahira,0,Desktop,Lahore,Female,18-24,0,9/9/2025
73,Mahira,0,Desktop,Lahore,Female,35-44,0,9/8/2025
74,Mahira,1,Tablet,Islamabad,Female,35-44,0,9/22/2025
75,Babar,0,Tablet,Lahore,Female,18-24,0,9/3/2025
76,Mahira,0,Tablet,Karachi,Male,25-34,0,9/28/2025
77,Mahira,0,Mobile,Lahore,Male,18-24,0,9/30/2025
78,Babar,0,Tablet,Lahore,Male,35-44,0,9/14/2025
79,Babar,0,Desktop,Karachi,Male,35-44,0,9/7/2025
80,Babar,0,Tablet,Islamabad,Female,35-44,0,9/4/2025
81,Babar,1,Tablet,Karachi,Male,25-34,0,9/7/2025
82,Babar,0,Mobile,Lahore,Female,35-44,0,9/26/2025
83,Mahira,0,Mobile,Islamabad,Male,35-44,0,9/23/2025
84,Mahira,0,Mobile,Lahore,Male,35-44,0,9/8/2025
85,Babar,0,Mobile,Karachi,Female,18-24,0,9/14/2025
86,Mahira,0,Tablet,Islamabad,Female,18-24,0,9/29/2025
87,Babar,0,Mobile,Lahore,Male,25-34,0,9/19/2025
88,Babar,0,Desktop,Karachi,Female,25-34,0,9/4/2025
89,Babar,0,Tablet,Lahore,Male,35-44,0,9/4/2025
90,Babar,0,Desktop,Karachi,Male,35-44,0,9/5/2025
91,Babar,0,Tablet,Lahore,Female,25-34,0,9/22/2025
92,Mahira,0,Desktop,Karachi,Female,18-24,0,9/9/2025
93,Babar,0,Tablet,Islamabad,Male,25-34,0,9/18/2025
94,Babar,0,Tablet,Lahore,Male,18-24,0,9/17/2025
95,Babar,0,Mobile,Lahore,Female,18-24,0,9/23/2025
96,Mahira,0,Desktop,Islamabad,Male,18-24,0,9/30/2025
97,Babar,0,Tablet,Lahore,Male,35-44,0,9/1/2025
98,Mahira,0,Desktop,Karachi,Female,18-24,0,9/21/2025
99,Babar,1,Desktop,Islamabad,Female,35-44,0,9/13/2025
100,Babar,0,Desktop,Islamabad,Male,35-44,0,9/3/2025
101,Mahira,0,Tablet,Lahore,Female,25-34,0,9/17/2025
102,Mahira,0,Mobile,Islamabad,Female,25-34,0,9/15/2025
103,Mahira,0,Tablet,Lahore,Male,35-44,0,9/29/2025
104,Babar,0,Mobile,Karachi,Female,25-34,0,9/6/2025
105,Mahira,0,Mobile,Islamabad,Female,25-34,0,9/3/2025
106,Babar,0,Tablet,Islamabad,Male,25-34,0,9/17/2025
107,Babar,0,Desktop,Islamabad,Female,25-34,0,9/23/2025
108,Babar,0,Mobile,Karachi,Female,25-34,0,9/3/2025
109,Babar,0,Tablet,Islamabad,Female,25-34,0,9/12/2025
110,Babar,0,Tablet,Lahore,Male,25-34,0,9/13/2025
111,Mahira,0,Tablet,Karachi,Female,35-44,0,9/17/2025
112,Babar,0,Desktop,Islamabad,Female,35-44,0,9/9/2025
113,Mahira,0,Desktop,Lahore,Female,35-44,0,9/3/2025
114,Mahira,0,Tablet,Lahore,Female,25-34,0,9/16/2025
115,Babar,0,Desktop,Islamabad,Male,35-44,0,9/13/2025
116,Babar,1,Mobile,Karachi,Female,25-34,0,9/12/2025
117,Babar,1,Mobile,Islamabad,Female,25-34,0,9/23/2025
118,Babar,0,Desktop,Islamabad,Female,18-24,0,9/20/2025
119,Mahira,0,Desktop,Lahore,Female,25-34,0,9/7/2025
120,Babar,0,Mobile,Lahore,Female,35-44,0,9/8/2025
121,Babar,0,Desktop,Islamabad,Male,25-34,0,9/23/2025
122,Babar,1,Desktop,Islamabad,Male,35-44,1,9/30/2025
123,Babar,0,Mobile,Islamabad,Male,35-44,0,9/5/2025
124,Mahira,0,Desktop,Lahore,Female,35-44,0,9/17/2025
125,Mahira,1,Desktop,Islamabad,Female,18-24,0,9/4/2025
126,Mahira,0,Mobile,Karachi,Male,35-44,0,9/16/2025
127,Babar,0,Tablet,Lahore,Male,35-44,0,9/26/2025
128,Babar,0,Tablet,Lahore,Female,18-24,0,9/5/2025
129,Mahira,0,Tablet,Karachi,Female,35-44,0,9/2/2025
130,Babar,1,Mobile,Islamabad,Male,25-34,0,9/21/2025
131,Mahira,0,Desktop,Karachi,Female,25-34,0,9/6/2025
132,Mahira,0,Desktop,Lahore,Female,18-24,0,9/14/2025
133,Babar,0,Tablet,Karachi,Female,25-34,0,9/18/2025
134,Babar,1,Desktop,Lahore,Female,25-34,0,9/12/2025
135,Babar,0,Mobile,Lahore,Female,35-44,0,9/13/2025
136,Babar,0,Desktop,Islamabad,Female,25-34,0,9/15/2025
137,Mahira,0,Desktop,Karachi,Male,25-34,0,9/12/2025
138,Mahira,0,Tablet,Karachi,Male,25-34,0,9/26/2025
139,Babar,0,Desktop,Islamabad,Female,35-44,0,9/18/2025
140,Mahira,0,Desktop,Lahore,Female,35-44,0,9/10/2025
141,Mahira,0,Mobile,Karachi,Female,25-34,0,9/27/2025
142,Mahira,0,Desktop,Lahore,Male,35-44,0,9/28/2025
143,Mahira,0,Desktop,Karachi,Male,35-44,0,9/13/2025
144,Babar,0,Desktop,Islamabad,Female,25-34,0,9/5/2025
145,Babar,0,Desktop,Karachi,Female,25-34,0,9/26/2025
146,Babar,0,Mobile,Lahore,Female,35-44,0,9/18/2025
147,Babar,0,Desktop,Islamabad,Female,18-24,0,9/6/2025
148,Babar,0,Tablet,Lahore,Male,25-34,0,9/30/2025
149,Mahira,0,Desktop,Karachi,Female,35-44,0,9/2/2025
150,Babar,0,Mobile,Islamabad,Female,25-34,0,9/11/2025
151,Mahira,0,Tablet,Karachi,Female,18-24,0,9/11/2025
152,Babar,0,Desktop,Lahore,Female,35-44,0,9/12/2025
153,Babar,0,Desktop,Lahore,Female,25-34,0,9/27/2025
154,Mahira,0,Tablet,Lahore,Male,25-34,0,9/5/2025
155,Mahira,0,Desktop,Karachi,Male,18-24,0,9/14/2025
156,Babar,0,Desktop,Karachi,Male,35-44,0,9/14/2025
157,Mahira,0,Desktop,Lahore,Male,35-44,0,9/27/2025
158,Babar,0,Mobile,Karachi,Female,25-34,0,9/21/2025
159,Mahira,0,Mobile,Karachi,Female,25-34,0,9/15/2025
160,Mahira,0,Mobile,Islamabad,Female,35-44,0,9/6/2025
161,Mahira,0,Tablet,Islamabad,Male,18-24,0,9/12/2025
162,Babar,0,Tablet,Karachi,Male,25-34,0,9/5/2025
163,Mahira,0,Tablet,Islamabad,Female,25-34,0,9/1/2025
164,Babar,1,Desktop,Karachi,Female,18-24,0,9/9/2025
165,Mahira,0,Desktop,Lahore,Female,18-24,0,9/15/2025
166,Mahira,0,Mobile,Lahore,Female,25-34,0,9/20/2025
167,Babar,0,Desktop,Islamabad,Female,35-44,0,9/5/2025
168,Babar,0,Desktop,Islamabad,Male,35-44,0,9/6/2025
169,Mahira,1,Mobile,Karachi,Male,25-34,1,9/11/2025
170,Mahira,0,Tablet,Islamabad,Male,25-34,0,9/7/2025
171,Mahira,0,Mobile,Karachi,Male,35-44,0,9/21/2025
172,Mahira,0,Desktop,Lahore,Female,35-44,0,9/25/2025
173,Babar,0,Tablet,Lahore,Male,18-24,0,9/9/2025
174,Babar,0,Tablet,Lahore,Male,35-44,0,9/21/2025
175,Mahira,1,Mobile,Karachi,Female,35-44,1,9/1/2025
176,Mahira,0,Mobile,Lahore,Female,18-24,0,9/2/2025
177,Mahira,0,Tablet,Islamabad,Female,35-44,0,9/21/2025
178,Mahira,0,Tablet,Islamabad,Male,25-34,0,9/13/2025
179,Babar,0,Mobile,Karachi,Male,25-34,0,9/7/2025
180,Mahira,0,Tablet,Lahore,Female,18-24,0,9/6/2025
181,Mahira,0,Mobile,Islamabad,Male,18-24,0,9/11/2025
182,Babar,0,Desktop,Islamabad,Female,25-34,0,9/13/2025
183,Babar,0,Desktop,Lahore,Female,25-34,0,9/26/2025
184,Mahira,0,Desktop,Islamabad,Female,18-24,0,9/15/2025
185,Mahira,1,Tablet,Lahore,Male,35-44,0,9/6/2025
186,Babar,0,Desktop,Karachi,Female,35-44,0,9/6/2025
187,Mahira,0,Desktop,Lahore,Female,35-44,0,9/27/2025
188,Mahira,0,Tablet,Islamabad,Male,35-44,0,9/3/2025
189,Babar,1,Desktop,Karachi,Male,35-44,0,9/6/2025
190,Mahira,0,Tablet,Islamabad,Female,25-34,0,9/12/2025
191,Babar,0,Desktop,Karachi,Male,18-24,0,9/6/2025
192,Babar,0,Tablet,Lahore,Female,35-44,0,9/13/2025
193,Mahira,0,Mobile,Islamabad,Female,25-34,0,9/3/2025
194,Babar,0,Desktop,Islamabad,Male,25-34,0,9/28/2025
195,Babar,0,Desktop,Islamabad,Female,18-24,0,9/24/2025
196,Mahira,0,Tablet,Lahore,Female,35-44,0,9/17/2025
197,Mahira,0,Tablet,Islamabad,Male,18-24,0,9/12/2025
198,Mahira,0,Desktop,Islamabad,Male,25-34,0,9/17/2025
199,Mahira,0,Desktop,Lahore,Female,35-44,0,9/15/2025
200,Babar,1,Desktop,Karachi,Male,18-24,0,9/2/2025
201,Mahira,0,Desktop,Karachi,Female,35-44,0,9/3/2025
202,Mahira,0,Mobile,Karachi,Female,35-44,0,9/8/2025
203,Mahira,0,Tablet,Islamabad,Female,25-34,0,9/28/2025
204,Babar,1,Desktop,Karachi,Female,18-24,1,9/23/2025
205,Mahira,1,Tablet,Islamabad,Male,25-34,0,9/9/2025
206,Babar,0,Desktop,Lahore,Female,35-44,0,9/22/2025
207,Babar,0,Desktop,Karachi,Male,25-34,0,9/13/2025
208,Babar,0,Mobile,Karachi,Female,35-44,0,9/13/2025
209,Mahira,1,Desktop,Karachi,Female,18-24,0,9/9/2025
210,Babar,0,Desktop,Karachi,Male,18-24,0,9/6/2025
211,Mahira,0,Mobile,Lahore,Male,25-34,0,9/1/2025
212,Mahira,0,Desktop,Karachi,Female,18-24,0,9/27/2025
213,Babar,0,Mobile,Lahore,Male,25-34,0,9/21/2025
214,Mahira,0,Desktop,Islamabad,Female,35-44,0,9/13/2025
215,Babar,0,Mobile,Karachi,Female,18-24,0,9/3/2025
216,Mahira,0,Mobile,Karachi,Female,35-44,0,9/20/2025
217,Mahira,1,Tablet,Islamabad,Male,35-44,0,9/12/2025
218,Babar,0,Desktop,Islamabad,Male,25-34,0,9/22/2025
219,Babar,0,Mobile,Lahore,Male,35-44,0,9/15/2025
220,Mahira,0,Tablet,Lahore,Male,25-34,0,9/30/2025
221,Mahira,0,Desktop,Karachi,Female,25-34,0,9/22/2025
222,Babar,0,Desktop,Karachi,Female,25-34,0,9/9/2025
223,Mahira,1,Desktop,Islamabad,Male,25-34,0,9/20/2025
224,Mahira,0,Tablet,Karachi,Male,18-24,0,9/19/2025
225,Babar,0,Tablet,Karachi,Male,18-24,0,9/15/2025
226,Babar,0,Tablet,Karachi,Male,35-44,0,9/23/2025
227,Babar,0,Tablet,Lahore,Male,35-44,0,9/14/2025
228,Mahira,0,Mobile,Karachi,Female,35-44,0,9/16/2025
229,Babar,0,Mobile,Islamabad,Female,25-34,0,9/30/2025
230,Mahira,0,Tablet,Islamabad,Female,18-24,0,9/13/2025
231,Babar,0,Tablet,Islamabad,Male,35-44,0,9/16/2025
232,Babar,0,Desktop,Islamabad,Female,35-44,0,9/23/2025
233,Mahira,0,Desktop,Lahore,Female,25-34,0,9/9/2025
234,Babar,0,Desktop,Lahore,Male,35-44,0,9/1/2025
235,Mahira,0,Mobile,Karachi,Female,25-34,0,9/12/2025
236,Babar,0,Desktop,Karachi,Female,25-34,0,9/5/2025
237,Babar,0,Mobile,Karachi,Female,18-24,0,9/3/2025
238,Babar,1,Desktop,Karachi,Female,35-44,0,9/7/2025
239,Babar,0,Tablet,Islamabad,Male,25-34,0,9/21/2025
240,Mahira,0,Tablet,Islamabad,Male,35-44,0,9/6/2025
241,Mahira,0,Tablet,Karachi,Female,25-34,0,9/8/2025
242,Babar,0,Desktop,Lahore,Female,25-34,0,9/30/2025
243,Babar,0,Desktop,Karachi,Male,18-24,0,9/2/2025
244,Babar,0,Tablet,Lahore,Female,35-44,0,9/17/2025
245,Babar,0,Desktop,Karachi,Male,25-34,0,9/25/2025
246,Mahira,0,Mobile,Lahore,Male,18-24,0,9/3/2025
247,Babar,0,Mobile,Islamabad,Female,35-44,0,9/29/2025
248,Babar,0,Mobile,Islamabad,Male,35-44,0,9/20/2025
249,Mahira,0,Tablet,Lahore,Male,18-24,0,9/11/2025
250,Mahira,0,Mobile,Lahore,Female,18-24,0,9/18/2025
251,Mahira,0,Mobile,Lahore,Male,18-24,0,9/10/2025
252,Babar,0,Desktop,Lahore,Female,35-44,0,9/18/2025
253,Mahira,0,Tablet,Islamabad,Female,18-24,0,9/12/2025
254,Babar,0,Desktop,Karachi,Female,18-24,0,9/8/2025
255,Babar,0,Mobile,Islamabad,Female,18-24,0,9/26/2025
256,Mahira,0,Mobile,Islamabad,Male,35-44,0,9/15/2025
257,Babar,0,Desktop,Karachi,Female,25-34,0,9/1/2025
258,Mahira,0,Desktop,Lahore,Male,18-24,0,9/28/2025
259,Babar,0,Desktop,Islamabad,Male,35-44,0,9/3/2025
260,Babar,1,Tablet,Islamabad,Male,25-34,0,9/30/2025
261,Babar,0,Mobile,Karachi,Female,35-44,0,9/17/2025
262,Mahira,0,Desktop,Islamabad,Male,18-24,0,9/6/2025
263,Babar,1,Mobile,Lahore,Male,35-44,0,9/29/2025
264,Mahira,0,Mobile,Karachi,Male,35-44,0,9/13/2025
265,Mahira,1,Tablet,Karachi,Male,35-44,0,9/29/2025
266,Mahira,0,Tablet,Islamabad,Male,25-34,0,9/23/2025
267,Babar,0,Tablet,Islamabad,Female,25-34,0,9/18/2025
268,Babar,1,Tablet,Islamabad,Male,25-34,0,9/13/2025
269,Mahira,0,Tablet,Islamabad,Male,25-34,0,9/26/2025
270,Mahira,0,Tablet,Karachi,Female,25-34,0,9/4/2025
271,Mahira,0,Mobile,Islamabad,Male,25-34,0,9/9/2025
272,Babar,1,Desktop,Karachi,Male,25-34,0,9/13/2025
273,Babar,0,Tablet,Islamabad,Male,18-24,0,9/23/2025
274,Mahira,0,Tablet,Islamabad,Male,25-34,0,9/29/2025
275,Babar,1,Mobile,Lahore,Male,35-44,0,9/19/2025
276,Mahira,0,Desktop,Lahore,Female,35-44,0,9/14/2025
277,Babar,1,Tablet,Lahore,Female,25-34,0,9/17/2025
278,Mahira,0,Mobile,Lahore,Male,35-44,0,9/19/2025
279,Babar,0,Desktop,Lahore,Male,18-24,0,9/17/2025
280,Mahira,0,Tablet,Karachi,Male,18-24,0,9/25/2025
281,Babar,0,Tablet,Islamabad,Female,18-24,0,9/15/2025
282,Babar,0,Desktop,Lahore,Male,18-24,0,9/18/2025
283,Babar,0,Tablet,Lahore,Female,25-34,0,9/9/2025
284,Mahira,0,Tablet,Lahore,Female,35-44,0,9/11/2025
285,Babar,0,Mobile,Lahore,Male,25-34,0,9/19/2025
286,Babar,0,Desktop,Lahore,Female,18-24,0,9/6/2025
287,Babar,0,Mobile,Karachi,Male,18-24,0,9/3/2025
288,Babar,0,Desktop,Islamabad,Male,25-34,0,9/5/2025
289,Babar,0,Desktop,Islamabad,Male,18-24,0,9/21/2025
290,Babar,0,Tablet,Lahore,Female,25-34,0,9/18/2025
291,Mahira,0,Mobile,Karachi,Male,18-24,0,9/9/2025
292,Mahira,0,Desktop,Islamabad,Male,25-34,0,9/30/2025
293,Babar,0,Desktop,Islamabad,Female,25-34,0,9/14/2025
294,Babar,0,Desktop,Karachi,Male,25-34,0,9/7/2025
295,Babar,0,Tablet,Islamabad,Female,25-34,0,9/16/2025
296,Babar,0,Mobile,Lahore,Female,35-44,0,9/17/2025
297,Babar,0,Tablet,Islamabad,Female,25-34,0,9/16/2025
298,Babar,0,Mobile,Karachi,Male,35-44,0,9/30/2025
299,Mahira,0,Mobile,Lahore,Female,35-44,0,9/12/2025
300,Mahira,0,Mobile,Islamabad,Female,18-24,0,9/18/2025
301,Mahira,0,Mobile,Islamabad,Female,35-44,0,9/6/2025
302,Babar,0,Mobile,Islamabad,Male,25-34,0,9/15/2025
303,Babar,0,Tablet,Lahore,Male,35-44,0,9/4/2025
304,Babar,0,Mobile,Lahore,Male,25-34,0,9/11/2025
305,Babar,0,Desktop,Lahore,Male,35-44,0,9/11/2025
306,Mahira,0,Desktop,Islamabad,Male,25-34,0,9/20/2025
307,Babar,0,Desktop,Karachi,Male,18-24,0,9/16/2025
308,Babar,0,Desktop,Islamabad,Female,35-44,0,9/5/2025
309,Babar,0,Tablet,Lahore,Male,35-44,0,9/16/2025
310,Mahira,0,Desktop,Karachi,Male,25-34,0,9/2/2025
311,Mahira,0,Tablet,Lahore,Female,35-44,0,9/14/2025
312,Babar,0,Desktop,Karachi,Male,25-34,0,9/15/2025
313,Babar,0,Mobile,Karachi,Female,35-44,0,9/14/2025
314,Babar,0,Mobile,Lahore,Female,25-34,0,9/16/2025
315,Babar,0,Tablet,Islamabad,Male,25-34,0,9/18/2025
316,Babar,0,Desktop,Lahore,Female,25-34,0,9/29/2025
317,Babar,0,Desktop,Lahore,Female,18-24,0,9/18/2025
318,Babar,0,Desktop,Karachi,Female,18-24,0,9/25/2025
319,Babar,1,Tablet,Lahore,Male,18-24,0,9/24/2025
320,Mahira,0,Tablet,Karachi,Female,35-44,0,9/23/2025
321,Babar,0,Tablet,Lahore,Male,25-34,0,9/14/2025
322,Babar,0,Mobile,Karachi,Female,25-34,0,9/10/2025
323,Mahira,0,Desktop,Lahore,Male,35-44,0,9/15/2025
324,Mahira,0,Mobile,Islamabad,Female,25-34,0,9/3/2025
325,Babar,0,Mobile,Lahore,Male,35-44,0,9/13/2025
326,Mahira,0,Tablet,Islamabad,Female,35-44,0,9/6/2025
327,Mahira,0,Desktop,Islamabad,Female,18-24,0,9/28/2025
328,Babar,0,Mobile,Karachi,Female,35-44,0,9/20/2025
329,Mahira,1,Tablet,Karachi,Male,18-24,0,9/18/2025
330,Mahira,0,Desktop,Karachi,Male,18-24,0,9/10/2025
331,Mahira,0,Desktop,Karachi,Male,35-44,0,9/12/2025
332,Babar,0,Desktop,Lahore,Female,35-44,0,9/1/2025
333,Babar,0,Mobile,Karachi,Female,25-34,0,9/27/2025
334,Babar,0,Mobile,Islamabad,Female,25-34,0,9/17/2025
335,Babar,0,Desktop,Lahore,Male,18-24,0,9/2/2025
336,Mahira,0,Mobile,Islamabad,Female,25-34,0,9/3/2025
337,Babar,0,Mobile,Karachi,Female,18-24,0,9/2/2025
338,Mahira,0,Desktop,Karachi,Male,35-44,0,9/21/2025
339,Babar,0,Tablet,Lahore,Female,18-24,0,9/10/2025
340,Babar,1,Tablet,Lahore,Male,18-24,0,9/20/2025
341,Babar,0,Tablet,Islamabad,Male,35-44,0,9/7/2025
342,Mahira,0,Tablet,Islamabad,Female,35-44,0,9/12/2025
343,Babar,0,Mobile,Islamabad,Male,25-34,0,9/2/2025
344,Babar,0,Desktop,Karachi,Female,18-24,0,9/1/2025
345,Mahira,0,Mobile,Karachi,Male,35-44,0,9/1/2025
346,Mahira,1,Mobile,Islamabad,Female,35-44,1,9/19/2025
347,Babar,0,Mobile,Karachi,Female,35-44,0,9/22/2025
348,Mahira,0,Mobile,Lahore,Female,18-24,0,9/12/2025
349,Babar,0,Tablet,Islamabad,Female,25-34,0,9/4/2025
350,Mahira,0,Tablet,Islamabad,Male,35-44,0,9/7/2025
351,Mahira,0,Mobile,Islamabad,Female,25-34,0,9/5/2025
352,Mahira,0,Tablet,Islamabad,Female,25-34,0,9/8/2025
353,Babar,1,Mobile,Lahore,Female,25-34,0,9/7/2025
354,Mahira,0,Tablet,Lahore,Male,18-24,0,9/28/2025
355,Mahira,0,Desktop,Lahore,Female,35-44,0,9/29/2025
356,Mahira,0,Desktop,Islamabad,Male,25-34,0,9/30/2025
357,Babar,0,Tablet,Islamabad,Male,18-24,0,9/22/2025
358,Babar,0,Mobile,Karachi,Male,25-34,0,9/27/2025
359,Mahira,0,Tablet,Islamabad,Male,18-24,0,9/13/2025
360,Babar,0,Desktop,Lahore,Male,25-34,0,9/4/2025
361,Babar,1,Tablet,Islamabad,Female,35-44,0,9/5/2025
362,Mahira,0,Tablet,Karachi,Male,25-34,0,9/18/2025
363,Babar,0,Mobile,Islamabad,Male,35-44,0,9/7/2025
364,Mahira,0,Tablet,Lahore,Female,18-24,0,9/17/2025
365,Babar,0,Mobile,Karachi,Male,25-34,0,9/8/2025
366,Babar,1,Desktop,Karachi,Male,35-44,0,9/13/2025
367,Babar,0,Mobile,Lahore,Male,35-44,0,9/6/2025
368,Babar,0,Mobile,Islamabad,Male,25-34,0,9/22/2025
369,Babar,0,Mobile,Karachi,Male,35-44,0,9/26/2025
370,Mahira,0,Desktop,Islamabad,Female,25-34,0,9/6/2025
371,Babar,0,Tablet,Karachi,Female,35-44,0,9/18/2025
372,Babar,0,Mobile,Lahore,Female,25-34,0,9/14/2025
373,Babar,1,Mobile,Karachi,Female,25-34,0,9/12/2025
374,Mahira,0,Mobile,Karachi,Female,18-24,0,9/12/2025
375,Mahira,0,Desktop,Karachi,Male,35-44,0,9/7/2025
376,Babar,0,Tablet,Islamabad,Female,35-44,0,9/22/2025
377,Babar,0,Tablet,Islamabad,Female,25-34,0,9/6/2025
378,Babar,0,Desktop,Karachi,Male,25-34,0,9/1/2025
379,Mahira,0,Mobile,Lahore,Male,35-44,0,9/7/2025
380,Mahira,1,Mobile,Islamabad,Female,35-44,1,9/17/2025
381,Babar,0,Tablet,Lahore,Female,35-44,0,9/16/2025
382,Mahira,0,Tablet,Karachi,Male,25-34,0,9/10/2025
383,Mahira,0,Desktop,Lahore,Male,35-44,0,9/14/2025
384,Babar,0,Desktop,Lahore,Female,25-34,0,9/11/2025
385,Babar,0,Mobile,Islamabad,Female,18-24,0,9/8/2025
386,Mahira,0,Tablet,Karachi,Female,18-24,0,9/18/2025
387,Mahira,0,Desktop,Lahore,Female,35-44,0,9/15/2025
388,Babar,0,Desktop,Lahore,Female,25-34,0,9/1/2025
389,Babar,0,Tablet,Lahore,Female,25-34,0,9/28/2025
390,Mahira,0,Tablet,Islamabad,Female,25-34,0,9/25/2025
391,Mahira,0,Tablet,Islamabad,Male,35-44,0,9/3/2025
392,Babar,0,Desktop,Lahore,Male,25-34,0,9/11/2025
393,Babar,0,Mobile,Islamabad,Male,18-24,0,9/15/2025
394,Mahira,0,Tablet,Lahore,Female,35-44,0,9/7/2025
395,Mahira,0,Tablet,Karachi,Female,18-24,0,9/13/2025
396,Mahira,0,Mobile,Karachi,Female,18-24,0,9/8/2025
397,Babar,0,Mobile,Islamabad,Female,35-44,0,9/16/2025
398,Mahira,0,Mobile,Islamabad,Female,18-24,0,9/17/2025
399,Mahira,0,Tablet,Islamabad,Female,35-44,0,9/24/2025
400,Babar,0,Desktop,Karachi,Female,18-24,0,9/11/2025
